"","state","member","name","party","twitterHandle"
"1","Alabama","U.S. Senator","ShelbyRichard","R","SenShelby"
"2","Alabama","U.S. Senator","TubervilleTommy","R","Ttuberville"
"3","Alaska","U.S. Senator","SullivanDan","R","SenDanSullivan"
"4","Alaska","U.S. Senator","MurkowskiLisa","R","lisamurkowski"
"5","Arizona","U.S. Senator","KellyMark","D","SenMarkKelly"
"6","Arizona","U.S. Senator","SinemaKyrsten","D","SenatorSinema"
"7","Arkansas","U.S. Senator","CottonTom","R","SenTomCotton"
"8","Arkansas","U.S. Senator","BoozmanJohn","R","JohnBoozman"
"9","California","U.S. Senator","FeinsteinDianne","D","SenFeinstein"
"10","California","U.S. Senator","PadillaAlex","D","KamalaHarris"
"11","Colorado","U.S. Senator","BennetMichael","D","MichaelBennet"
"12","Colorado","U.S. Senator","HickenlooperJohn","D","SenatorHick"
"13","Connecticut","U.S. Senator","MurphyChris","D","ChrisMurphyCT"
"14","Connecticut","U.S. Senator","BlumenthalRichard","D","SenBlumenthal"
"15","Delaware","U.S. Senator","CoonsChris","D","SenCoonsOffice"
"16","Delaware","U.S. Senator","CarperTom","D","SenatorCarper"
"17","Florida","U.S. Senator","RubioMarco","R","marcorubio"
"18","Florida","U.S. Senator","ScottRick","R","ScottforFlorida"
"19","Georgia","U.S. Senator","OssoffJon","D","ossoff"
"20","Georgia","U.S. Senator","WarnockRaphael","D","ReverendWarnock"
"21","Hawaii","U.S. Senator","SchatzBrian","D","SenBrianSchatz"
"22","Hawaii","U.S. Senator","HironoMazie","D","maziehirono"
"23","Idaho","U.S. Senator","RischJim","R","SenatorRisch"
"24","Idaho","U.S. Senator","CrapoMike","R","MikeCrapo"
"25","Illinois","U.S. Senator","TammyDuckwort","D","SenDuckworth"
"26","Illinois","U.S. Senator","DurbinRichard","D","SenatorDurbin"
"27","Indiana","U.S. Senator","BraunMike","R","Braun4Indiana"
"28","Indiana","U.S. Senator","YoungTodd","R","SenToddYoung"
"29","Iowa","U.S. Senator","GrassleyChuck","R","ChuckGrassley"
"30","Iowa","U.S. Senator","JoniErnst","R","SenJoniErnst"
"31","Kansas","U.S. Senator","MarshallRoger","R","RogerMarshallMD"
"32","Kansas","U.S. Senator","MoranJerry","R","JerryMoran"
"33","Kentucky","U.S. Senator","PaulRand","R","RandPaul"
"34","Kentucky","U.S. Senator","McConnellMitch","R","McConnellPress"
"35","Louisiana","U.S. Senator","KennedyJohn","R","JohnKennedyLA"
"36","Louisiana","U.S. Senator","CassidyBill","R","BillCassidy"
"37","Maine","U.S. Senator","AngusKing","I","SenAngusKing"
"38","Maine","U.S. Senator","CollinsSusan","R","SenatorCollins"
"39","Maryland","U.S. Senator","VanHollenChris","D","ChrisVanHollen"
"40","Maryland","U.S. Senator","CardinBenjamin","D","SenatorCardin"
"41","Massachusetts","U.S. Senator","WarrenElizabeth","D","SenWarren"
"42","Massachusetts","U.S. Senator","MarkeyEdward","D","SenMarkey"
"43","Michigan","U.S. Senator","StabenowDebbie","D","SenStabenow"
"44","Michigan","U.S. Senator","PetersGary","D","SenGaryPeters"
"45","Minnesota","U.S. Senator","KlobucharAmy","D","amyklobuchar"
"46","Minnesota","U.S. Senator","SmithTina","D","SenTinaSmith"
"47","Mississippi","U.S. Senator","WickerRoger","R","SenatorWicker"
"48","Mississippi","U.S. Senator","Hyde-SmithCindy","R","SenHydeSmith"
"49","Missouri","U.S. Senator","HawleyJosh","R","HawleyMO"
"50","Missouri","U.S. Senator","BluntRoy","R","RoyBlunt"
"51","Montana","U.S. Senator","TesterJon","D","SenatorTester"
"52","Montana","U.S. Senator","DainesSteve","R","SteveDaines"
"53","Nebraska","U.S. Senator","SasseBen","R","SenSasse"
"54","Nebraska","U.S. Senator","FischerDeb","R","SenatorFischer"
"55","Nevada","U.S. Senator","RosenJacky","D","SenJackyRosen"
"56","Nevada","U.S. Senator","CortezMastroCatherine","D","CatherineForNV"
"57","New Hampshire","U.S. Senator","ShaheenJeanne","D","SenatorShaheen"
"58","New Hampshire","U.S. Senator","HassanMaggie","D","Maggie_Hassan"
"59","New Jersey","U.S. Senator","MenendezRobert","D","SenatorMenendez"
"60","New Jersey","U.S. Senator","BookerCory","D","CoryBooker"
"61","New Mexico","U.S. Senator","LujánBenRay","D","SenatorLujan"
"62","New Mexico","U.S. Senator","HeinrichMartin","D","MartinHeinrich"
"63","New York","U.S. Senator","SchumerChuck","D","SenSchumer"
"64","New York","U.S. Senator","GillibrandKirsten","D","SenGillibrand"
"65","North Carolina","U.S. Senator","TillisThom","R","SenThomTillis"
"66","North Carolina","U.S. Senator","BurrRichard","R","SenatorBurr"
"67","North Dakota","U.S. Senator","HoevenJohn","R","SenJohnHoeven"
"68","North Dakota","U.S. Senator","CramerKevin","R","SenKevinCramer"
"69","Ohio","U.S. Senator","PortmanRob","R","senrobportman"
"70","Ohio","U.S. Senator","BrownSherrod","D","SenSherrodBrown"
"71","Oklahoma","U.S. Senator","LankfordJames","R","SenatorLankford"
"72","Oklahoma","U.S. Senator","InhofeJim","R","InhofePress"
"73","Oregon","U.S. Senator","WydenRon","D","RonWyden"
"74","Oregon","U.S. Senator","MerkleyJeff","D","SenJeffMerkley"
"75","Pennsylvania","U.S. Senator","ToomeyPatrick","R","SenToomey"
"76","Pennsylvania","U.S. Senator","CaseyBobJr.","D","SenBobCasey"
"77","Rhode Island","U.S. Senator","WhitehouseSheldon","D","SenWhitehouse"
"78","Rhode Island","U.S. Senator","ReedJack","D","SenJackReed"
"79","South Carolina","U.S. Senator","ScottTim","R","SenatorTimScott"
"80","South Carolina","U.S. Senator","GrahamLindsey","R","LindsayGrahamSC"
"81","South Dakota","U.S. Senator","ThuneJohn","R","SenJohnThune"
"82","South Dakota","U.S. Senator","RoundsMike","R","SenatorRounds"
"83","Tennessee","U.S. Senator","BlackburnMarsha","R","MarshaBlackburn"
"84","Tennessee","U.S. Senator","HagertyBill","R","BillHagertyTN"
"85","Texas","U.S. Senator","CruzTed","R","SenTedCruz"
"86","Texas","U.S. Senator","CornynJohn","R","JohnCornyn"
"87","Utah","U.S. Senator","LeeMike","R","SenMikeLee"
"88","Utah","U.S. Senator","RomneyMitt","R","SenatorRomney"
"89","Vermont","U.S. Senator","SandersBernie","I","SenSanders"
"90","Vermont","U.S. Senator","LeahyPatrick","D","SenatorLeahy"
"91","Virginia","U.S. Senator","WarnerMark","D","MarkWarner"
"92","Virginia","U.S. Senator","KaineTim","D","timkaine"
"93","Washington","U.S. Senator","MurrayPatty","D","PattyMurray"
"94","Washington","U.S. Senator","CantwellMaria","D","SenatorCantwell"
"95","West Virginia","U.S. Senator","ManchinJoe","D","Sen_JoeManchin"
"96","West Virginia","U.S. Senator","MooreCapitoShelley","R","SenCapito"
"97","Wisconsin","U.S. Senator","JohnsonRon","R","SenRonJohnson"
"98","Wisconsin","U.S. Senator","BaldwinTammy","D","SenatorBaldwin"
"99","Wyoming","U.S. Senator","LummisCynthia","R","SenLummis"
"100","Wyoming","U.S. Senator","BarrassoJohn","R","SenJohnBarrasso"
